WKT;WKT_2;ID;CO_FRAC_RA;COMUNA;FRACCION;RADIO;TOTAL_POB;T_VARON;T_MUJER;I_MASCULINIDAD;T_VIVIENDA;V_PARTICUL;V_PARTICUL_POR;V_COLECTIV;V_COLECTIV_POR;T_HOGAR;H_CON_NBI;H_CON_NBI_POR;H_SIN_NBI;H_SIN_NBI_POR
MULTIPOLYGON (((-58.515809450719615 -34.58606905193988,-58.515142010514801 -34.585658056292246,-58.513805105329304 -34.584834716719421,-58.513147143792892 -34.585562625659314,-58.512491893873481 -34.586287431147213,-58.513407049569423 -34.586852570158271,-58.513680244213084 -34.587021265972389,-58.513832217986021 -34.587114656867527,-58.513757672691113 -34.587197367466246,-58.51443689429064 -34.588609462117937,-58.514515608607908 -34.588657106689524,-58.514534755607457 -34.588635759675576,-58.514581559372033 -34.588583625023212,-58.515165154909539 -34.587933631151486,-58.51571521389122 -34.587320974443983,-58.515817242639208 -34.587207052253383,-58.516471445477649 -34.586476736312932,-58.515809450719615 -34.58606905193988)));;479;11_1_3;COMUNA 11;1;3;720;325;395;82,28%;287;286;99,65%;1;0,35%;247;1;0,40%;246;99,60%
MULTIPOLYGON (((-58.509788291073207 -34.586971982554495,-58.509021855735092 -34.587819633954389,-58.510359019048643 -34.588646405837622,-58.51112612921689 -34.587798041636276,-58.511728300669219 -34.587132140598776,-58.511830250140392 -34.58701934857325,-58.512491893873481 -34.586287431147213,-58.513147143792892 -34.585562625659314,-58.511810258914039 -34.584737785270114,-58.511154407074812 -34.585461386688053,-58.511040629589793 -34.585586859433704,-58.510492757902263 -34.586192874414373,-58.509788291073207 -34.586971982554495)));;480;11_1_4;COMUNA 11;1;4;846;399;447;89,26%;371;371;100,00%;0;0,00%;316;3;0,95%;313;99,05%
MULTIPOLYGON (((-58.513407049569423 -34.586852570158271,-58.512491893873481 -34.586287431147213,-58.511830250140392 -34.58701934857325,-58.511728300669219 -34.587132140598776,-58.51112612921689 -34.587798041636276,-58.510359019048643 -34.588646405837622,-58.511138823122906 -34.589128512501148,-58.511703023925548 -34.589477385720244,-58.511808040258913 -34.589361705084549,-58.512469445830632 -34.588627393686615,-58.513173474339759 -34.587845876005289,-58.513278400958669 -34.587729419433302,-58.513757672691113 -34.587197367466246,-58.513832217986021 -34.587114656867527,-58.513680244213084 -34.587021265972389,-58.513407049569423 -34.586852570158271)));;481;11_1_5;COMUNA 11;1;5;587;272;315;86,35%;268;268;100,00%;0;0,00%;221;8;3,62%;213;96,38%
MULTIPOLYGON (((-58.513490644238239 -34.590586065231797,-58.513880052943982 -34.590828165688407,-58.514829653885563 -34.590545780715019,-58.515372677777293 -34.590359131684878,-58.515260660410995 -34.590305093322591,-58.514480293011147 -34.588696489452822,-58.514515608607908 -34.588657106689524,-58.51443689429064 -34.588609462117937,-58.513757672691113 -34.587197367466246,-58.513278400958669 -34.587729419433302,-58.513173474339759 -34.587845876005289,-58.512469445830632 -34.588627393686615,-58.511808040258913 -34.589361705084549,-58.511703023925548 -34.589477385720244,-58.512213815824488 -34.589793178078097,-58.512368093447392 -34.589888541727298,-58.512488806808548 -34.589963213827311,-58.513032233627165 -34.590301102969299,-58.513490644238239 -34.590586065231797)));;482;11_1_6;COMUNA 11;1;6;802;384;418;91,87%;322;322;100,00%;0;0,00%;278;1;0,36%;277;99,64%
MULTIPOLYGON (((-58.510187063480146 -34.591148333208849,-58.510777511398949 -34.591511567137019,-58.511034195900429 -34.591681824601508,-58.511374005300645 -34.591573304968385,-58.512433799962722 -34.59125821731233,-58.513880052943982 -34.590828165688407,-58.513490644238239 -34.590586065231797,-58.513032233627165 -34.590301102969299,-58.512488806808548 -34.589963213827311,-58.512368093447392 -34.589888541727298,-58.512213815824488 -34.589793178078097,-58.511703023925548 -34.589477385720244,-58.511138823122906 -34.589128512501148,-58.510360635758339 -34.589986388350297,-58.509621921667055 -34.590800721096791,-58.510187063480146 -34.591148333208849)));;483;11_1_7;COMUNA 11;1;7;720;323;397;81,36%;336;335;99,70%;1;0,30%;252;1;0,40%;251;99,60%
MULTIPOLYGON (((-58.510360635758339 -34.589986388350297,-58.511138823122906 -34.589128512501148,-58.510359019048643 -34.588646405837622,-58.509021855735092 -34.587819633954389,-58.508244000678545 -34.58867982040578,-58.507504172463875 -34.589497943896262,-58.508843730586364 -34.590321984682163,-58.509621921667055 -34.590800721096791,-58.510360635758339 -34.589986388350297)));;484;11_1_8;COMUNA 11;1;8;675;336;339;99,12%;367;367;100,00%;0;0,00%;295;1;0,34%;294;99,66%
MULTIPOLYGON (((-58.508843730586364 -34.590321984682163,-58.507504172463875 -34.589497943896262,-58.506723817988949 -34.590360867940269,-58.506071964145583 -34.591081763810038,-58.507412130608827 -34.591907510082969,-58.506762314470265 -34.592628338287909,-58.507393564594331 -34.593018546656651,-58.508529041459354 -34.592595714501705,-58.509049776648368 -34.592401707367308,-58.509662122757206 -34.592173647357455,-58.510674036130098 -34.591796830418254,-58.510926829217752 -34.591716093785543,-58.511034195900429 -34.591681824601508,-58.510777511398949 -34.591511567137019,-58.510187063480146 -34.591148333208849,-58.509621921667055 -34.590800721096791,-58.508843730586364 -34.590321984682163)));;485;11_1_9;COMUNA 11;1;9;781;356;425;83,76%;401;401;100,00%;0;0,00%;304;2;0,66%;302;99,34%
MULTIPOLYGON (((-58.494715769031906 -34.596947684774236,-58.493417713175766 -34.597033373859873,-58.492908863143228 -34.597067445869691,-58.492758796115915 -34.597287773156651,-58.49271790781728 -34.597347782580613,-58.492029048651403 -34.598358766776087,-58.491507156696827 -34.599124836086652,-58.492604261490349 -34.599777836665886,-58.492691261613054 -34.59966203622627,-58.493161669909767 -34.599032881458719,-58.493940220100065 -34.597991658585279,-58.494715769031906 -34.596947684774236)));;486;11_10_1;COMUNA 11;10;1;724;324;400;81,00%;372;371;99,73%;1;0,27%;315;1;0,32%;314;99,68%
MULTIPOLYGON (((-58.480780260760007 -34.598831181376823,-58.4803223590066 -34.599028509481656,-58.479747274925536 -34.599276276763575,-58.478831289142441 -34.599670923492965,-58.478542837475196 -34.599734977826692,-58.4777284926517 -34.599910932656826,-58.477264343518208 -34.600011204049565,-58.4769147405461 -34.600086741128081,-58.47639233627887 -34.600199551665142,-58.47610464712109 -34.600261698663253,-58.476403359039573 -34.60020039792515,-58.476455754686818 -34.600238899007316,-58.476732020502283 -34.600391633107527,-58.4770020148014 -34.600447519393271,-58.478029616120189 -34.600511473753706,-58.479126236319914 -34.60058986301371,-58.479116892146358 -34.600713883096432,-58.479201897237282 -34.600746337659437,-58.479921210617761 -34.600628346431037,-58.480416815186246 -34.600659473854016,-58.480856719363572 -34.600689480761119,-58.48162154865291 -34.600741549650202,-58.481849387991844 -34.600794544301699,-58.482041523855479 -34.600770358145226,-58.4838060869712 -34.600890492819524,-58.484379541252089 -34.60092947827988,-58.484604711819571 -34.600865210261887,-58.484620842112385 -34.600667875884405,-58.484674056128597 -34.60060490616042,-58.483586770653574 -34.600527699793794,-58.483420600033369 -34.600502515892913,-58.483135109403158 -34.600482774549263,-58.482942880363041 -34.600469918773889,-58.483344968184603 -34.600150402560601,-58.48436143011962 -34.599732534284072,-58.483855929284466 -34.598947522378786,-58.482856428247601 -34.599388201474611,-58.482417227049382 -34.598702965171327,-58.482127383768947 -34.598250740693189,-58.480780260760007 -34.598831181376823)));;487;11_10_10;COMUNA 11;10;10;713;344;369;93,22%;324;324;100,00%;0;0,00%;281;5;1,78%;276;98,22%
MULTIPOLYGON (((-58.48952676783378 -34.597296554980588,-58.488544489606717 -34.597363952676851,-58.489212397958546 -34.597757275324618,-58.490357595966202 -34.598440427807851,-58.490515952332068 -34.598534902498614,-58.491507156696827 -34.599124836086652,-58.492029048651403 -34.598358766776087,-58.49271790781728 -34.597347782580613,-58.492758796115915 -34.597287773156651,-58.492908863143228 -34.597067445869691,-58.492489944005619 -34.597095460048536,-58.491217519354493 -34.597180885407859,-58.490186189136978 -34.597250068405124,-58.48952676783378 -34.597296554980588)));;488;11_10_2;COMUNA 11;10;2;956;434;522;83,14%;474;473;99,79%;1;0,21%;384;2;0,52%;382;99,48%
MULTIPOLYGON (((-58.491507156696827 -34.599124836086652,-58.490515952332068 -34.598534902498614,-58.490357595966202 -34.598440427807851,-58.489212397958546 -34.597757275324618,-58.488606291877709 -34.598645467960516,-58.489753114781237 -34.599327005889975,-58.49090319345418 -34.600010433689114,-58.491405177640246 -34.599274443332902,-58.491507156696827 -34.599124836086652)));;489;11_10_3;COMUNA 11;10;3;715;314;401;78,30%;406;406;100,00%;0;0,00%;317;2;0,63%;315;99,37%
MULTIPOLYGON (((-58.490690657079973 -34.600902206858962,-58.490790562748522 -34.600908733446097,-58.491605906085475 -34.600962207039593,-58.491707686600101 -34.600971549440423,-58.491958478157407 -34.600637603579209,-58.492604261490349 -34.599777836665886,-58.491507156696827 -34.599124836086652,-58.491405177640246 -34.599274443332902,-58.49090319345418 -34.600010433689114,-58.489753114781237 -34.599327005889975,-58.489650962087161 -34.599476893405523,-58.489266779521891 -34.600040520391957,-58.488709522517816 -34.600857925217362,-58.488271488365477 -34.600827946230524,-58.488404801969217 -34.600905597240875,-58.488983718089656 -34.601242740295604,-58.490014888761571 -34.601312868612339,-58.490073457287963 -34.601227007146321,-58.490198510921907 -34.601043732606357,-58.49025316314566 -34.600963505950631,-58.490311986596012 -34.600877362606859,-58.490690657079973 -34.600902206858962)));;490;11_10_4;COMUNA 11;10;4;956;423;533;79,36%;428;427;99,77%;1;0,23%;364;1;0,27%;363;99,73%
MULTIPOLYGON (((-58.488606291877709 -34.598645467960516,-58.487651401261743 -34.598077968992591,-58.487461191092422 -34.597964130098539,-58.486975354653424 -34.59867587489768,-58.488120291082531 -34.599357780674133,-58.487445375499263 -34.600346830560639,-58.488271488365477 -34.600827946230524,-58.488709522517816 -34.600857925217362,-58.489266779521891 -34.600040520391957,-58.489650962087161 -34.599476893405523,-58.489753114781237 -34.599327005889975,-58.488606291877709 -34.598645467960516)));;491;11_10_5;COMUNA 11;10;5;942;423;519;81,50%;496;494;99,60%;2;0,40%;386;6;1,55%;380;98,45%
MULTIPOLYGON (((-58.487798284463594 -34.597416293557608,-58.487353643849318 -34.597447441741949,-58.487143374330792 -34.597462907175313,-58.486681104748648 -34.597496943874738,-58.486486930962769 -34.59751120778315,-58.486130519700119 -34.597537404511314,-58.485821322666006 -34.597988607702298,-58.486975354653424 -34.59867587489768,-58.487461191092422 -34.597964130098539,-58.487651401261743 -34.598077968992591,-58.488606291877709 -34.598645467960516,-58.489212397958546 -34.597757275324618,-58.488544489606717 -34.597363952676851,-58.487798284463594 -34.597416293557608)));;492;11_10_6;COMUNA 11;10;6;982;445;537;82,87%;570;570;100,00%;0;0,00%;458;1;0,22%;457;99,78%
MULTIPOLYGON (((-58.488120291082531 -34.599357780674133,-58.486975354653424 -34.59867587489768,-58.485821322666006 -34.597988607702298,-58.485132512946961 -34.598993704609853,-58.485522641185376 -34.599221176229861,-58.486295493216737 -34.599671821193702,-58.486512537246817 -34.599798333181255,-58.487265127785804 -34.600241933388027,-58.487445375499263 -34.600346830560639,-58.488120291082531 -34.599357780674133)));;493;11_10_7;COMUNA 11;10;7;982;454;528;85,98%;417;417;100,00%;0;0,00%;401;1;0,25%;400;99,75%
MULTIPOLYGON (((-58.48303701540528 -34.597771278181284,-58.482915261924937 -34.597911233402215,-58.482127383768947 -34.598250740693189,-58.482417227049382 -34.598702965171327,-58.482856428247601 -34.599388201474611,-58.483855929284466 -34.598947522378786,-58.48436143011962 -34.599732534284072,-58.485522641185376 -34.599221176229861,-58.485132512946961 -34.598993704609853,-58.485821322666006 -34.597988607702298,-58.486130519700119 -34.597537404511314,-58.484855152351585 -34.59763462318368,-58.484853484884169 -34.597634759471646,-58.48303701540528 -34.597771278181284)));;494;11_10_8;COMUNA 11;10;8;748;322;426;75,59%;406;403;99,26%;3;0,74%;318;1;0,31%;317;99,69%
MULTIPOLYGON (((-58.487445375499263 -34.600346830560639,-58.487265127785804 -34.600241933388027,-58.486512537246817 -34.599798333181255,-58.486295493216737 -34.599671821193702,-58.485522641185376 -34.599221176229861,-58.48436143011962 -34.599732534284072,-58.483344968184603 -34.600150402560601,-58.482942880363041 -34.600469918773889,-58.483135109403158 -34.600482774549263,-58.483420600033369 -34.600502515892913,-58.483586770653574 -34.600527699793794,-58.484674056128597 -34.60060490616042,-58.484620842112385 -34.600667875884405,-58.484604711819571 -34.600865210261887,-58.484379541252089 -34.60092947827988,-58.486372795192175 -34.601065098959893,-58.488415540113479 -34.601204057065267,-58.488983718089656 -34.601242740295604,-58.488404801969217 -34.600905597240875,-58.488271488365477 -34.600827946230524,-58.487445375499263 -34.600346830560639)));;495;11_10_9;COMUNA 11;10;9;757;376;381;98,69%;401;401;100,00%;0;0,00%;319;2;0,63%;317;99,37%
MULTIPOLYGON (((-58.480856719363572 -34.600689480761119,-58.480416815186246 -34.600659473854016,-58.479921210617761 -34.600628346431037,-58.480591063331609 -34.601021504510783,-58.481068243576459 -34.601301725991895,-58.481274806872754 -34.601422966948824,-58.481732570086251 -34.601690653078776,-58.481892200122637 -34.601783871059062,-58.482589320217734 -34.602152928377812,-58.48261982458245 -34.602208770592519,-58.482923847842621 -34.602764798003982,-58.483816343183889 -34.60439724363092,-58.483959991427511 -34.604247283469078,-58.484691321388027 -34.603421700202219,-58.485018367406745 -34.603052542364857,-58.485125906482793 -34.602932025131295,-58.485004998817722 -34.602746406463218,-58.484493424759151 -34.601954497031159,-58.48407848093472 -34.601312222049692,-58.483871437399529 -34.600991612118818,-58.4838060869712 -34.600890492819524,-58.482041523855479 -34.600770358145226,-58.481849387991844 -34.600794544301699,-58.48162154865291 -34.600741549650202,-58.480856719363572 -34.600689480761119)));;496;11_11_1;COMUNA 11;11;1;827;376;451;83,37%;295;295;100,00%;0;0,00%;293;0;0,00%;293;100,00%
MULTIPOLYGON (((-58.483816343183889 -34.60439724363092,-58.482923847842621 -34.602764798003982,-58.48261982458245 -34.602208770592519,-58.482589320217734 -34.602152928377812,-58.481892200122637 -34.601783871059062,-58.481794112343863 -34.601906989720177,-58.481051120675637 -34.602833195198734,-58.480466575718829 -34.603561689531965,-58.480325653310629 -34.603737350400017,-58.481589422859372 -34.604427750685865,-58.481245164193439 -34.604854932217656,-58.481148945181715 -34.604975866834337,-58.481939593059145 -34.605273924915778,-58.482728376798811 -34.605588809779853,-58.483286371950236 -34.604981088515672,-58.483654816266352 -34.604579672700474,-58.483816343183889 -34.60439724363092)));;497;11_11_2;COMUNA 11;11;2;888;425;463;91,79%;361;361;100,00%;0;0,00%;309;1;0,32%;308;99,68%
MULTIPOLYGON (((-58.479921210617761 -34.600628346431037,-58.479201897237282 -34.600746337659437,-58.479075623328981 -34.600908262263964,-58.478638131094243 -34.601469186653631,-58.478055366617149 -34.602216261623077,-58.479171223665794 -34.602838886189232,-58.480466575718829 -34.603561689531965,-58.481051120675637 -34.602833195198734,-58.481794112343863 -34.601906989720177,-58.481892200122637 -34.601783871059062,-58.481732570086251 -34.601690653078776,-58.481274806872754 -34.601422966948824,-58.481068243576459 -34.601301725991895,-58.480591063331609 -34.601021504510783,-58.479921210617761 -34.600628346431037)));;498;11_11_3;COMUNA 11;11;3;953;471;482;97,72%;332;332;100,00%;0;0,00%;325;9;2,77%;316;97,23%
MULTIPOLYGON (((-58.476924548303316 -34.602662964926999,-58.477472847193276 -34.602963192839077,-58.477947821425666 -34.602354167667947,-58.478055366617149 -34.602216261623077,-58.478638131094243 -34.601469186653631,-58.479075623328981 -34.600908262263964,-58.479201897237282 -34.600746337659437,-58.479116892146358 -34.600713883096432,-58.479126236319914 -34.60058986301371,-58.478029616120189 -34.600511473753706,-58.4770020148014 -34.600447519393271,-58.476732020502283 -34.600391633107527,-58.477498785852312 -34.600825080226478,-58.47697146327441 -34.601583904373477,-58.47638161959793 -34.602365691792485,-58.476924548303316 -34.602662964926999)));;499;11_11_4;COMUNA 11;11;4;294;141;153;92,16%;119;119;100,00%;0;0,00%;102;1;0,98%;101;99,02%
MULTIPOLYGON (((-58.479886533573485 -34.604284687180773,-58.480325653310629 -34.603737350400017,-58.480466575718829 -34.603561689531965,-58.479171223665794 -34.602838886189232,-58.478055366617149 -34.602216261623077,-58.477947821425666 -34.602354167667947,-58.477472847193276 -34.602963192839077,-58.47714109397316 -34.603391769885647,-58.476807292557453 -34.603816472851861,-58.477743598101561 -34.604332014230927,-58.477930485627709 -34.604433966712747,-58.477281785390879 -34.60527041538716,-58.477174063818424 -34.605403602216143,-58.477864380320938 -34.605777898578836,-58.478438683400768 -34.606089316360517,-58.47920753429748 -34.605131009899736,-58.479886533573485 -34.604284687180773)));;500;11_11_5;COMUNA 11;11;5;952;450;502;89,64%;373;373;100,00%;0;0,00%;335;0;0,00%;335;100,00%
MULTIPOLYGON (((-58.480325653310629 -34.603737350400017,-58.479886533573485 -34.604284687180773,-58.47920753429748 -34.605131009899736,-58.479838570494515 -34.605475442841964,-58.480327439728541 -34.605742284587315,-58.480476513009847 -34.60582923804153,-58.481224590320522 -34.606176886223423,-58.481723510748338 -34.606408719511961,-58.481899756482747 -34.606491371042956,-58.482386576305409 -34.605961203268521,-58.482728376798811 -34.605588809779853,-58.481939593059145 -34.605273924915778,-58.481148945181715 -34.604975866834337,-58.481245164193439 -34.604854932217656,-58.481589422859372 -34.604427750685865,-58.480325653310629 -34.603737350400017)));;501;11_11_6;COMUNA 11;11;6;1017;472;545;86,61%;417;417;100,00%;0;0,00%;396;11;2,78%;385;97,22%
MULTIPOLYGON (((-58.481899756482747 -34.606491371042956,-58.481723510748338 -34.606408719511961,-58.481224590320522 -34.606176886223423,-58.480476513009847 -34.60582923804153,-58.480327439728541 -34.605742284587315,-58.479838570494515 -34.605475442841964,-58.47920753429748 -34.605131009899736,-58.478438683400768 -34.606089316360517,-58.47746475749922 -34.607303004418576,-58.477618424665927 -34.607359677972134,-58.478723476346666 -34.607703705548552,-58.478945116099624 -34.607762340385584,-58.479203724599508 -34.607830758919434,-58.479669236189253 -34.607944995071598,-58.47980816587318 -34.607979061439025,-58.480206812088355 -34.60807689583676,-58.48041030939298 -34.608126727467543,-58.480552944129983 -34.607958390591349,-58.480996011122954 -34.607475842284458,-58.481517840883654 -34.606907431946148,-58.481899756482747 -34.606491371042956)));;502;11_11_7;COMUNA 11;11;7;878;401;477;84,07%;345;345;100,00%;0;0,00%;305;2;0,66%;303;99,34%
MULTIPOLYGON (((-58.476050692974233 -34.604786312786295,-58.47521871117241 -34.605852778965264,-58.475111667671769 -34.605990823228083,-58.475263802891057 -34.606082078671797,-58.476201836419449 -34.606650661654804,-58.476364707328138 -34.606749379593829,-58.476895395814701 -34.607026512416915,-58.477328978582307 -34.607252878066483,-58.47746475749922 -34.607303004418576,-58.478438683400768 -34.606089316360517,-58.477864380320938 -34.605777898578836,-58.477174063818424 -34.605403602216143,-58.477281785390879 -34.60527041538716,-58.477930485627709 -34.604433966712747,-58.477743598101561 -34.604332014230927,-58.476807292557453 -34.603816472851861,-58.476658784135353 -34.604006849220013,-58.476050692974233 -34.604786312786295)));;503;11_11_8;COMUNA 11;11;8;867;385;482;79,88%;372;372;100,00%;0;0,00%;315;6;1,90%;309;98,10%
MULTIPOLYGON (((-58.474341283712633 -34.605512853116863,-58.474953995948631 -34.605896117316242,-58.475111667671769 -34.605990823228083,-58.47521871117241 -34.605852778965264,-58.476050692974233 -34.604786312786295,-58.476658784135353 -34.604006849220013,-58.476807292557453 -34.603816472851861,-58.47714109397316 -34.603391769885647,-58.477472847193276 -34.602963192839077,-58.476924548303316 -34.602662964926999,-58.47638161959793 -34.602365691792485,-58.475736321879637 -34.603170863364525,-58.475705240325283 -34.60320967096559,-58.474932449839223 -34.604174012623481,-58.474016658573369 -34.605311115537432,-58.474162317943545 -34.605400894036833,-58.474341283712633 -34.605512853116863)));;504;11_11_9;COMUNA 11;11;9;906;397;509;78,00%;313;313;100,00%;0;0,00%;296;1;0,34%;295;99,66%
MULTIPOLYGON (((-58.490740939433124 -34.602265979592836,-58.49132020421893 -34.601490960451059,-58.489955894496248 -34.601399434396328,-58.490014888761571 -34.601312868612339,-58.488983718089656 -34.601242740295604,-58.488415540113479 -34.601204057065267,-58.486372795192175 -34.601065098959893,-58.486647937958246 -34.601224347118617,-58.487804911949382 -34.601893787936355,-58.488982178881592 -34.602574974345657,-58.489191567445836 -34.602696130838346,-58.489999653390477 -34.603165336669008,-58.490740939433124 -34.602265979592836)));;505;11_12_1;COMUNA 11;12;1;580;261;319;81,82%;279;279;100,00%;0;0,00%;233;2;0,86%;231;99,14%
MULTIPOLYGON (((-58.484402186792934 -34.607768252573671,-58.483428639875534 -34.608865575082966,-58.48367345467679 -34.608925817156745,-58.484057117841246 -34.609020261125835,-58.484354491479323 -34.609093521268619,-58.484654591490639 -34.609167414021222,-58.484993194900099 -34.609250806397561,-58.485645862090024 -34.608450867177602,-58.48575689515993 -34.608314784880832,-58.486364251862391 -34.607577458207551,-58.485158662411443 -34.606914633290778,-58.4850392828615 -34.607050082776311,-58.484402186792934 -34.607768252573671)));;506;11_12_10;COMUNA 11;12;10;604;273;331;82,48%;312;312;100,00%;0;0,00%;261;2;0,77%;259;99,23%
MULTIPOLYGON (((-58.488982178881592 -34.602574974345657,-58.487804911949382 -34.601893787936355,-58.486647937958246 -34.601224347118617,-58.485836524933603 -34.602135172117173,-58.48699461359174 -34.602809127518228,-58.488172143597232 -34.603494406248089,-58.488982178881592 -34.602574974345657)));;507;11_12_2;COMUNA 11;12;2;587;259;328;78,96%;263;263;100,00%;0;0,00%;236;0;0,00%;236;100,00%
MULTIPOLYGON (((-58.485125906482793 -34.602932025131295,-58.485018367406745 -34.603052542364857,-58.484691321388027 -34.603421700202219,-58.48544512611069 -34.603860733509705,-58.485871899226304 -34.604077774062354,-58.486013828589961 -34.604192540079197,-58.48703453918435 -34.604785532085039,-58.488172143597232 -34.603494406248089,-58.48699461359174 -34.602809127518228,-58.485836524933603 -34.602135172117173,-58.486647937958246 -34.601224347118617,-58.486372795192175 -34.601065098959893,-58.484379541252089 -34.60092947827988,-58.4838060869712 -34.600890492819524,-58.483871437399529 -34.600991612118818,-58.48407848093472 -34.601312222049692,-58.484493424759151 -34.601954497031159,-58.485004998817722 -34.602746406463218,-58.485125906482793 -34.602932025131295)));;508;11_12_3;COMUNA 11;12;3;1009;484;525;92,19%;425;424;99,76%;1;0,24%;360;5;1,39%;355;98,61%
MULTIPOLYGON (((-58.489999653390477 -34.603165336669008,-58.489191567445836 -34.602696130838346,-58.488982178881592 -34.602574974345657,-58.488172143597232 -34.603494406248089,-58.48703453918435 -34.604785532085039,-58.488136534469312 -34.605425753862292,-58.488219973845275 -34.605324535467865,-58.489223954987914 -34.604106458733661,-58.489999653390477 -34.603165336669008)));;509;11_12_4;COMUNA 11;12;4;622;282;340;82,94%;336;336;100,00%;0;0,00%;272;1;0,37%;271;99,63%
MULTIPOLYGON (((-58.486188018120821 -34.605746367761419,-58.485158662411443 -34.606914633290778,-58.486364251862391 -34.607577458207551,-58.487337294451557 -34.606396165365595,-58.488136534469312 -34.605425753862292,-58.48703453918435 -34.604785532085039,-58.486188018120821 -34.605746367761419)));;510;11_12_5;COMUNA 11;12;5;655;307;348;88,22%;289;289;100,00%;0;0,00%;245;0;0,00%;245;100,00%
MULTIPOLYGON (((-58.483816343183889 -34.60439724363092,-58.483654816266352 -34.604579672700474,-58.483286371950236 -34.604981088515672,-58.482728376798811 -34.605588809779853,-58.483951729627464 -34.606252993847356,-58.48445266420191 -34.605685560438147,-58.484994547993544 -34.605071636829891,-58.486188018120821 -34.605746367761419,-58.48703453918435 -34.604785532085039,-58.486013828589961 -34.604192540079197,-58.485871899226304 -34.604077774062354,-58.48544512611069 -34.603860733509705,-58.484691321388027 -34.603421700202219,-58.483959991427511 -34.604247283469078,-58.483816343183889 -34.60439724363092)));;511;11_12_6;COMUNA 11;12;6;881;424;457;92,78%;370;369;99,73%;1;0,27%;320;1;0,31%;319;99,69%
MULTIPOLYGON (((-58.484994547993544 -34.605071636829891,-58.48445266420191 -34.605685560438147,-58.483951729627464 -34.606252993847356,-58.483838479828464 -34.606381257738718,-58.483576726690046 -34.606677651874314,-58.483197377142425 -34.607107027935314,-58.484402186792934 -34.607768252573671,-58.4850392828615 -34.607050082776311,-58.485158662411443 -34.606914633290778,-58.486188018120821 -34.605746367761419,-58.484994547993544 -34.605071636829891)));;512;11_12_7;COMUNA 11;12;7;664;301;363;82,92%;289;289;100,00%;0;0,00%;259;4;1,54%;255;98,46%
MULTIPOLYGON (((-58.481517840883654 -34.606907431946148,-58.480996011122954 -34.607475842284458,-58.482265293663986 -34.608164051129705,-58.482375652334923 -34.608035930051734,-58.482727335799055 -34.607638534170235,-58.483084210182689 -34.607235220669978,-58.483197377142425 -34.607107027935314,-58.483576726690046 -34.606677651874314,-58.483838479828464 -34.606381257738718,-58.483951729627464 -34.606252993847356,-58.482728376798811 -34.605588809779853,-58.482386576305409 -34.605961203268521,-58.481899756482747 -34.606491371042956,-58.481517840883654 -34.606907431946148)));;513;11_12_8;COMUNA 11;12;8;756;352;404;87,13%;302;302;100,00%;0;0,00%;272;1;0,37%;271;99,63%
MULTIPOLYGON (((-58.480996011122954 -34.607475842284458,-58.480552944129983 -34.607958390591349,-58.48041030939298 -34.608126727467543,-58.481318937599234 -34.608349135631826,-58.481969299074223 -34.608507420784299,-58.482213685705119 -34.608566891182235,-58.483428639875534 -34.608865575082966,-58.484402186792934 -34.607768252573671,-58.483197377142425 -34.607107027935314,-58.483084210182689 -34.607235220669978,-58.482727335799055 -34.607638534170235,-58.482375652334923 -34.608035930051734,-58.482265293663986 -34.608164051129705,-58.480996011122954 -34.607475842284458)));;514;11_12_9;COMUNA 11;12;9;596;259;337;76,85%;299;299;100,00%;0;0,00%;240;3;1,25%;237;98,75%
MULTIPOLYGON (((-58.494640634116834 -34.602236780583567,-58.495992697065724 -34.60304109751219,-58.496531625853798 -34.602322964355572,-58.496641010930077 -34.602177435503357,-58.496945584776469 -34.601772546303771,-58.497006448106511 -34.601691610639087,-58.497142730341302 -34.601510086473162,-58.497204955217924 -34.601427248840992,-58.495341137277634 -34.601302897751864,-58.495382167615766 -34.601248236800714,-58.49500969859541 -34.601189953489779,-58.494516464422453 -34.600920354504659,-58.49436813315581 -34.601008635893066,-58.494278973108571 -34.601040913751142,-58.494195338021044 -34.601044104502186,-58.494000465984598 -34.601031900657752,-58.493880364263468 -34.600997211773304,-58.49371918595218 -34.600894995432178,-58.493571234798559 -34.601092012295751,-58.492617740955204 -34.601029289658172,-58.491707686600101 -34.600971549440423,-58.491605906085475 -34.600962207039593,-58.490790562748522 -34.600908733446097,-58.490690657079973 -34.600902206858962,-58.490311986596012 -34.600877362606859,-58.49025316314566 -34.600963505950631,-58.490198510921907 -34.601043732606357,-58.490073457287963 -34.601227007146321,-58.490014888761571 -34.601312868612339,-58.489955894496248 -34.601399434396328,-58.49132020421893 -34.601490960451059,-58.491744564836083 -34.601517811196182,-58.491780997249855 -34.601540123753203,-58.492788053673785 -34.602138163201246,-58.493116565616063 -34.601696938236586,-58.49380684622971 -34.601743075282549,-58.494640634116834 -34.602236780583567)));;515;11_13_1;COMUNA 11;13;1;709;291;418;69,62%;429;429;100,00%;0;0,00%;346;6;1,73%;340;98,27%
